,Company,Title,Category,Location,Responsibilities,Minimum_Qualifications,Preferred_Qualifications,Country,Responsibilities_clean,Minimum_Qualifications_clean,Preferred_Qualifications_clean
0,Google,Google Cloud Program Manager,Program Management,Singapore,"Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations.","BA/BS degree or equivalent practical experience.
3 years of experience in program and/or project management in cloud computing, enterprise software and/or marketing technologies.","Experience in the business technology market as a program manager in SaaS, cloud computing, and/or emerging technologies.
Significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
Proven successful program outcomes from idea to launch in multiple contexts throughout your career.
Ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
Ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
Strong organization and communication skills.",Singapore,Shape shepherd ship show technical programs designed support work Cloud Customer Engineers Solutions Architects Measure report key metrics tied programs identify need change course cancel scale programs regional global platform Communicate status identify obstacles paths resolution stakeholders including senior roles transparent regular professional timely manner Establish expectations rationale deliverables stakeholders program contributors Provide program performance feedback teams Product Engineering Sales Marketing among others enable efficient cross-team operations,BA/BS degree equivalent practical experience 3 years experience program and/or project management cloud computing enterprise software and/or marketing technologies,Experience business technology market program manager SaaS cloud computing and/or emerging technologies Significant cross-functional experience across engineering sales marketing teams cloud computing related technical fields Proven successful program outcomes idea launch multiple contexts throughout career Ability manage expectations demands priorities multiple internal stakeholders based overarching vision success global team health Ability work pressure possess flexibility changing needs direction rapidly-growing organization Strong organization communication skills
1,Google,"Supplier Development Engineer (SDE), Cable/Connector",Manufacturing & Supply Chain,"Shanghai, China","Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters.","BS degree in an Engineering discipline or equivalent practical experience.
7 years of experience in Cable/Connector Design or Manufacturing in an NPI role.
Experience working with Interconnect Engineering and Product Design (PD)/Mechanical Engineer in developing, manufacturing and testing.
Ability to speak and write in English and Mandarin fluently and idiomatically.","BSEE, BSME or BSIE degree.
Experience of using Statistics tools for Data analysis, e.g. distribution histogram/pareto chart, process control chart, Design of Experiment (DOE), Correlation Analysis, etc.
Demonstrated knowledge in PCBA manufacturing process and quality control.
Familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, LIM, MIM process and materials.
Self starter with innovation, integrity and attention to detail.
Ability to travel up to 50% of the time",China,Drive cross-functional activities supply chain overall Technical Operational readiness NPI phases leading mass production Collaborate suppliers Engineering teams assessing process technologies based project requirements propose develop manufacturing blueprint including process flow equipment/fixture designs implementation schedules validation plans engineering builds mass production Drive project technical operational issues material process fixtures equipment etc NPI phase enable delivery mature product manufacturing process mass production Support/drive continuous improvement efforts supply chain Lead suppliers providing technical direction establish validate utilizing statistical tools process capability NPI phase consistently delivering quality product mass production Utilize DOE ’ FMEA Industry standard tools proactively identify address risks optimize process parameters,BS degree Engineering discipline equivalent practical experience 7 years experience Cable/Connector Design Manufacturing NPI role Experience working Interconnect Engineering Product Design PD /Mechanical Engineer developing manufacturing testing Ability speak write English Mandarin fluently idiomatically,BSEE BSME BSIE degree Experience using Statistics tools Data analysis e.g distribution histogram/pareto chart process control chart Design Experiment DOE Correlation Analysis etc Demonstrated knowledge PCBA manufacturing process quality control Familar cable/connector related components manufacturing moldling stamping die-casting LIM MIM process materials Self starter innovation integrity attention detail Ability travel 50 time
2,Google,"Data Analyst, Product and Tools Operations, Google Technical Services",Technical Solutions,"New York, NY, United States","Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.","Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.",United States,Collect analyze data draw insight identify strategic solutions Build consensus facilitating broad collaboration clear communication documentation Work cross-functional stakeholders gather requirements manage implementation drive delivery projects,Bachelor ’ degree Business Economics Statistics Operations Research related analytical field equivalent practical experience 2 years work experience business analysis 1 year experience statistical modeling forecasting machine learning Experience R SAS Python 1 year experience developing manipulating large datasets,Experience partnering consulting cross-functionally senior stakeholders Proficiency database query language e.g SQL Ability manage multiple projects ambiguous environment Strong presentation communication skills ability communicate statistical concepts explain recommendations non-experts
3,Google,"Developer Advocate, Partner Engineering",Developer Relations,"Mountain View, CA, United States","Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers.","BA/BS degree in Computer Science or equivalent practical experience.
Experience working directly with partners.
Programming experience in one or more of the following languages/platforms: Android, Java, Kotlin, iOS, Javascript.","Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes.",United States,Work one-on-one top Android iOS web engineers build exciting new product/API integrations drive adoption Google ’ developer platforms Conceive new features ideas change users interact apps Google help developers build Conduct regular engineering-focused meetings developers help design new systems fix bugs improve UX solve complex code issues Work source code Google 's products engineers identify reproduce and/or fix bugs affecting developers,BA/BS degree Computer Science equivalent practical experience Experience working directly partners Programming experience one following languages/platforms Android Java Kotlin iOS Javascript,Experience software developer architect technology advocate CTO consultant working web mobile technologies Experience working third parties Experience interacting clients internal stakeholders Knowledge web application mobile application development landscapes
4,Google,"Program Manager, Audio Visual (AV) Deployments",Program Management,"Sunnyvale, CA, United States","Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.","BA/BS degree or equivalent practical experience.
4 years of experience managing large scale Global AV Deployments.
Experience managing vendors to deliver defined projects.
Experience in Audio/Visual and Video Conferencing design, system integration and resolution.","CTS Certification.
Experience in the construction sector.
Experience with project management software and reporting tools.
Ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
Business management and consulting skills.
Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.",United States,Plan requirements internal customers Provide portfolio reports forecasts Regional Service Delivery Manager Manage vendor PM services usher projects entire lifecycle Plan finances tracking across portfolio projects Ensure changes scope schedule cost managed accordance agreed change order procedures Interface cross functional stakeholders understand communicate program strategy priorities Ensure project closure processes completed including handover support Help validate new improve existing products partnering AV Eng teams Set operational goals lead ongoing process program improvement initiatives,BA/BS degree equivalent practical experience 4 years experience managing large scale Global AV Deployments Experience managing vendors deliver defined projects Experience Audio/Visual Video Conferencing design system integration resolution,CTS Certification Experience construction sector Experience project management software reporting tools Ability understand technical subjects emerging technologies relevance marketplace Business management consulting skills Excellent interpersonal relationship building skills across multiple stakeholders varying levels
5,Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience",Technical Solutions,"Dublin, Ireland","Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Czech and/or Slovak fluently and idiomatically.","Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively.",Ireland,Communicate customers via phone email Provide strategic advice consultation help advertisers get best experience advertising products Implement creative ways improve customer relationships Tailor share online marketing strategy suggestions Work towards strategic goals prioritizing delivering outstanding customer experience Google 's advertisers,Bachelor 's degree equivalent practical experience Ability speak write English Czech and/or Slovak fluently idiomatically,Experience sales customer service account management marketing consulting Experience managing customizing experience specific customer base Experience leading motivating working effectively within team Demonstrated ability multi-task manage multiple projects working fast-paced environment Ability work towards strategic goals Effective organizational skills ability work independently proactively
6,Google,"Supplier Development Engineer, Camera, Consumer Hardware",Hardware Engineering,"Mountain View, CA, United States","Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize DOE’s, FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters.","BS degree in Engineering or equivalent practical experience.
10 years of experience in Design and Manufacturing in a New Product Introduction (NPI) role.
Experience in camera manufacturing.","Master's degree.
Experience in the development of camera module integration processes or other related industries.
Experience managing functional Engineering teams.
Experience in project management including data handling, documentation, critical decision making and organization skills.
Knowledge of Quality and Statistical tools and methods.
Self-starter with innovation, integrity and attention to details.",United States,Manage cross-functional activities supply chain overall Technical Operational readiness NPI phases leading Mass Production Collaborate Suppliers Engineering teams assessing process technologies based project requirements propose develop manufacturing blueprint including process flow equipment/fixture designs implementation schedules Manage project technical operational issues regarding material process fixtures equipment etc NPI phase Utilize DOE ’ FMEA industry standard tools proactively identify address risks optimize process parameters,BS degree Engineering equivalent practical experience 10 years experience Design Manufacturing New Product Introduction NPI role Experience camera manufacturing,Master 's degree Experience development camera module integration processes related industries Experience managing functional Engineering teams Experience project management including data handling documentation critical decision making organization skills Knowledge Quality Statistical tools methods Self-starter innovation integrity attention details
7,Google,"Strategic Technology Partner Manager, Healthcare and Life Sciences",Partnerships,"Sunnyvale, CA, United States","Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges.","BA/BS degree or equivalent practical experience.
5 years of experience in Partner Management and/or Business Development.
Experience working with public cloud solutions across Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) markets.
Experience working with technology solutions for the healthcare industry. Experience within internal and customer-facing roles.","BA/BS degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in Partnership Management and Strategy/Business Development.
Background in Software Engineering and/or Product Management.
Experience managing and growing relationships with cross-functional teams internally and externally.
Demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace.",United States,Lead development strategy partners healthcare life sciences Build relationships partners focus long term mutually beneficial solutions Engage Product Management Sales Engineering teams align product directions external partners Work peer teams establish partner strategy priorities determine recruiting partner development focus Be responsible recruiting developing supporting strategic technology partnerships partner ecosystem Help partners leverage Google 's technology enhance offerings integrate fill gaps extend product portfolio Be point contact partners around key areas Operations Financial Sales Training Product Enhancement etc drive new partnerships support integration new products existing partners ensure prompt proper resolution daily business challenges,BA/BS degree equivalent practical experience 5 years experience Partner Management and/or Business Development Experience working public cloud solutions across Software-as-a-Service SaaS Platform-as-a-Service PaaS Infrastructure-as-a-Service IaaS markets Experience working technology solutions healthcare industry Experience within internal customer-facing roles,BA/BS degree technical life sciences engineering field equivalent practical experience 5 years experience working variety technology systems designing solutions developing applications healthcare and/or life sciences 8 years experience Partnership Management Strategy/Business Development Background Software Engineering and/or Product Management Experience managing growing relationships cross-functional teams internally externally Demonstrated ability plan manage strategic operational level launch new products marketplace
8,Google,"Manufacturing Business Manager, Google Hardware",Manufacturing & Supply Chain,"Xinyi District, Taiwan","Develop CM/ODM strategy and implement supplier management processes with critical partners.
Lead the creation and implementation of RFX processes for sourcing needs.
Manage the agreement creation process with the cross-functional program needs in mind.
Manage assigned manufacturing partner to program requirements in cost, quality, schedule and technology areas.
Perform periodic cost improvement ideas in terms of DFM or alternative technology choices.","BA/BS degree in Engineering, Supply Chain or equivalent practical experience.
5 years of related Contract Manufacturing or Business Operations experience.
Experience leading/managing Contract Manufacturers and Original Design Manufacturers.
Experience with finance and analytics, cost modeling and negotiation experience.","MBA degree.
Experience in procurement and supply chain.
Ability to establish impactful partnerships, interpret legal documents and work with the Legal team to complete agreements.
Fluency in Mandarin and familiarity with international business customs.
Willingness to travel in Asia 25% of the time and for extended periods as required.",Taiwan,Develop CM/ODM strategy implement supplier management processes critical partners Lead creation implementation RFX processes sourcing needs Manage agreement creation process cross-functional program needs mind Manage assigned manufacturing partner program requirements cost quality schedule technology areas Perform periodic cost improvement ideas terms DFM alternative technology choices,BA/BS degree Engineering Supply Chain equivalent practical experience 5 years related Contract Manufacturing Business Operations experience Experience leading/managing Contract Manufacturers Original Design Manufacturers Experience finance analytics cost modeling negotiation experience,MBA degree Experience procurement supply chain Ability establish impactful partnerships interpret legal documents work Legal team complete agreements Fluency Mandarin familiarity international business customs Willingness travel Asia 25 time extended periods required
9,Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",Technical Solutions,"New York, NY, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, related Software Engineering field or equivalent practical experience.
Experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
Experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related IT infrastructure.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information.",United States,Help compile customer requirements well survey existing customer IT landscape enable integrations PoC stage full deployment products managing healthcare and/or life sciences data Google Cloud Define business case solutions design solutions help prototype develop customer ’ new environment guide solutions launch market Create training materials guides demonstrations white papers help scale solutions delivery Engage standards communities drive development standards meet platform customer needs ensure standards implementers know Google Cloud Healthcare platform Demonstrate thought leadership cloud computing across multiple channels become trusted advisor decision makers Provide customer market feedback Product Engineering teams help shape product direction Travel required in-region meetings technical reviews onsite delivery activities,BA/BS degree Computer Science related Software Engineering field equivalent practical experience Experience working cloud computing environment infrastructure storage platforms and/or data Experience working healthcare and/or life science domain including deploying solutions healthcare and/or life sciences related IT infrastructure Experience writing software one languages Java Python Go JavaScript C++ similar,Master 's degree Computer Science related Engineering field equivalent work experience 5 years experience working variety technology systems designing solutions developing applications healthcare and/or life science environments Experience working closely Sales Marketing teams cloud computing related technical fields Understanding current trends healthcare and/or life sciences infrastructure including databases enterprise integration buses protocols APIs formats security networking cloud-based delivery models Ability communicate complex technical concepts approachable way broad audiences empowering memorable useful information
